,burglary,burglary,burglary,burglary,burglary,assault,assault,assault,assault,assault,gla,gla,gla,gla,gla,grlarceny,grlarceny,grlarceny,grlarceny,grlarceny,murder,murder,murder,murder,murder,rape,rape,rape,rape,rape,robbery,robbery,robbery,robbery,robbery,total,total,total,total,total
102,1503,1485,965,622,298,362,401,440,309,260,3495,2150,1303,803,253,583,523,538,378,419,12,11,3,2,6,34,35,23,21,23,1238,908,672,459,269,7227,5513,3944,2594,1528
103,1166,1055,598,449,261,853,787,611,406,359,1591,1088,602,472,204,1214,985,578,587,415,28,16,16,10,11,74,69,45,27,37,1742,1488,751,530,436,6668,5488,3201,2481,1723
104,1955,1760,1024,790,402,305,251,261,262,250,3418,2041,1374,892,249,678,620,485,551,544,19,6,7,5,2,21,16,24,15,14,1027,765,490,359,262,7423,5459,3665,2874,1723
105,1640,1485,854,630,494,409,406,400,329,279,3476,2423,1360,913,420,593,642,444,456,455,23,19,7,18,5,41,48,52,35,27,1082,824,557,395,343,7264,5847,3674,2776,2023
106,1230,978,662,417,331,408,308,297,241,221,3304,1918,1370,778,283,595,527,440,381,378,21,14,7,4,4,33,31,40,19,10,891,756,545,344,267,6482,4532,3361,2184,1494
107,1425,1187,862,632,269,239,241,226,153,126,4902,2527,1560,802,214,616,591,614,572,435,8,4,5,4,3,32,27,30,15,13,1039,732,514,375,238,8261,5309,3811,2553,1298
108,1563,1396,971,564,292,317,235,248,147,123,2123,1653,942,704,180,914,733,605,570,510,10,11,5,3,2,12,23,24,18,11,1026,685,464,313,155,5965,4736,3259,2319,1273
109,2378,1485,1440,964,399,350,308,363,327,242,4153,2481,1668,1075,287,1367,988,993,1175,695,11,22,3,5,8,34,21,28,22,19,1217,826,480,388,252,9510,6131,4975,3956,1902
110,2165,1547,720,485,316,497,458,383,315,268,2302,1535,814,493,123,1280,986,665,605,552,29,29,11,9,2,34,26,27,44,22,1541,1121,718,614,332,7848,5702,3338,2565,1615
111,965,792,580,348,204,130,98,88,58,49,3301,1791,1169,640,107,575,500,261,325,386,4,7,2,1,2,15,8,6,2,6,341,280,151,154,79,5331,3476,2257,1528,833
112,1391,769,605,350,150,126,135,84,98,62,3382,1973,925,622,103,1028,789,741,668,493,5,2,2,0,2,10,7,7,3,9,659,453,272,213,105,6601,4128,2636,1954,924
113,1150,962,651,461,495,758,616,488,401,482,1833,1526,793,520,241,3982,2046,1049,855,690,39,28,10,10,17,78,76,66,48,29,1177,890,562,355,416,9017,6144,3619,2650,2370
114,2345,1897,1043,855,467,748,607,445,385,347,2684,1566,1152,873,188,1129,1058,783,744,647,26,21,8,5,5,45,42,33,33,27,1713,1102,801,586,332,8690,6293,4265,3481,2013
115,1979,1558,829,503,321,424,448,376,311,364,2214,1399,791,606,189,1432,1306,982,875,575,21,18,13,5,4,36,39,22,24,42,1316,969,609,435,347,7422,5737,3622,2759,1842
120,1705,1402,708,581,371,791,700,517,451,386,1347,847,525,320,168,589,511,439,424,410,21,17,9,7,12,56,48,38,30,42,1016,826,359,272,248,5525,4351,2595,2085,1637
122,1351,737,401,258,260,313,271,166,132,129,2809,1920,889,524,117,839,654,371,443,386,3,4,2,4,2,19,21,13,6,10,317,232,151,77,112,5651,3839,1993,1444,1016
123,341,248,186,149,101,114,80,62,54,49,720,533,315,179,47,243,177,154,96,175,1,5,1,2,2,4,5,4,2,1,64,53,25,32,37,1487,1101,747,514,412
